,location,date,flood_id,flood_day,72hr_precip
20,Hue,2010-10-03,2,2.0,"[2.93, 0.7, 1.0, 1.0, 1.0, 0.4, 1.35, 0.9, 1.9, 1.7, 0.5, 1.5, 1.0, 0.6, 1.0, 1.2, 5.1, 2.4, 1.4, 0.7, 0.8, 1.0, 0.5, 1.7, 2.72, 1.7, 2.5, 1.6, 2.0, 1.9, 1.9, 1.7, 1.2, 1.4, 1.0, 2.0, 2.9, 0.9, 2.8, 1.9, 1.3, 1.6, 3.1, 2.8, 1.9, 2.1, 2.2, 4.15, 5.15, 2.0, 3.7, 2.8, 2.9, 2.9, 1.8, 1.1, 2.9, 3.7, 3.1, 2.2, 1.9, 5.2, 5.4, 7.1, 4.2, 2.3, 3.0, 3.7, 5.3, 4.91, 3.1, 4.18]"
21,Hue,2010-10-04,2,3.0,"[2.72, 1.7, 2.5, 1.6, 2.0, 1.9, 1.9, 1.7, 1.2, 1.4, 1.0, 2.0, 2.9, 0.9, 2.8, 1.9, 1.3, 1.6, 3.1, 2.8, 1.9, 2.1, 2.2, 4.15, 5.15, 2.0, 3.7, 2.8, 2.9, 2.9, 1.8, 1.1, 2.9, 3.7, 3.1, 2.2, 1.9, 5.2, 5.4, 7.1, 4.2, 2.3, 3.0, 3.7, 5.3, 4.91, 3.1, 4.18, 4.78, 2.2, 3.0, 3.5, 2.7, 3.3, 3.8, 5.4, 6.3, 4.8, 2.0, 1.4, 1.4, 1.5, 2.3, 3.2, 4.1, 5.8, 2.4, 2.2, 1.3, 0.9, 0.7, 4.98]"
22,Hue,2010-10-05,2,4.0,"[5.15, 2.0, 3.7, 2.8, 2.9, 2.9, 1.8, 1.1, 2.9, 3.7, 3.1, 2.2, 1.9, 5.2, 5.4, 7.1, 4.2, 2.3, 3.0, 3.7, 5.3, 4.91, 3.1, 4.18, 4.78, 2.2, 3.0, 3.5, 2.7, 3.3, 3.8, 5.4, 6.3, 4.8, 2.0, 1.4, 1.4, 1.5, 2.3, 3.2, 4.1, 5.8, 2.4, 2.2, 1.3, 0.9, 0.7, 4.98, 7.21, 4.16, 5.08, 6.51, 3.51, 5.93, 6.71, 3.66, 0.7, 0.5, 0.4, 1.4, 1.1, 0.3, 0.6, 1.79, 0.2, 2.3, 2.92, 1.43, 1.4, 1.87, 0.0, 1.8]"
23,Hue,2010-10-06,2,5.0,"[4.78, 2.2, 3.0, 3.5, 2.7, 3.3, 3.8, 5.4, 6.3, 4.8, 2.0, 1.4, 1.4, 1.5, 2.3, 3.2, 4.1, 5.8, 2.4, 2.2, 1.3, 0.9, 0.7, 4.98, 7.21, 4.16, 5.08, 6.51, 3.51, 5.93, 6.71, 3.66, 0.7, 0.5, 0.4, 1.4, 1.1, 0.3, 0.6, 1.79, 0.2, 2.3, 2.92, 1.43, 1.4, 1.87, 0.0, 1.8, 2.4, 1.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24,Ha Tinh,2010-10-12,3,-2.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.6, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.2, 0.3, 0.6, 0.8, 1.4, 1.2, 0.4, 0.6, 0.6, 1.8, 0.6, 1.0, 0.2, 1.9, 0.2, 0.0, 0.4, 0.4, 0.1, 0.0, 0.6]"
25,Ha Tinh,2010-10-13,3,-1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.2, 0.3, 0.6, 0.8, 1.4, 1.2, 0.4, 0.6, 0.6, 1.8, 0.6, 1.0, 0.2, 1.9, 0.2, 0.0, 0.4, 0.4, 0.1, 0.0, 0.6, 0.8, 0.8, 1.5, 0.4, 1.0, 1.1, 1.3, 0.6, 0.9, 1.2, 0.7, 0.4, 0.4, 1.7, 0.6, 0.0, 0.0, 0.2, 0.2, 0.0, 0.4, 0.8, 1.0, 0.5]"
26,Ha Tinh,2010-10-14,3,0.0,"[0.0, 0.0, 0.3, 0.2, 0.3, 0.6, 0.8, 1.4, 1.2, 0.4, 0.6, 0.6, 1.8, 0.6, 1.0, 0.2, 1.9, 0.2, 0.0, 0.4, 0.4, 0.1, 0.0, 0.6, 0.8, 0.8, 1.5, 0.4, 1.0, 1.1, 1.3, 0.6, 0.9, 1.2, 0.7, 0.4, 0.4, 1.7, 0.6, 0.0, 0.0, 0.2, 0.2, 0.0, 0.4, 0.8, 1.0, 0.5, 0.0, 0.0, 0.1, 0.0, 0.2, 0.6, 0.6, 0.3, 0.6, 0.9, 1.2, 1.0, 0.5, 1.8, 0.1, 0.0, 0.2, 0.0, 0.0, 0.5, 2.2, 2.2, 2.9, 2.2]"
27,Ha Tinh,2010-10-15,3,1.0,"[0.8, 0.8, 1.5, 0.4, 1.0, 1.1, 1.3, 0.6, 0.9, 1.2, 0.7, 0.4, 0.4, 1.7, 0.6, 0.0, 0.0, 0.2, 0.2, 0.0, 0.4, 0.8, 1.0, 0.5, 0.0, 0.0, 0.1, 0.0, 0.2, 0.6, 0.6, 0.3, 0.6, 0.9, 1.2, 1.0, 0.5, 1.8, 0.1, 0.0, 0.2, 0.0, 0.0, 0.5, 2.2, 2.2, 2.9, 2.2, 1.5, 2.2, 3.3, 3.1, 2.1, 3.9, 5.9, 5.4, 5.9, 6.4, 6.5, 7.57, 9.81, 5.48, 4.72, 5.27, 2.8, 7.53, 9.66, 6.31, 5.5, 6.8, 8.0, 11.6]"
28,Ha Tinh,2010-10-16,3,2.0,"[0.0, 0.0, 0.1, 0.0, 0.2, 0.6, 0.6, 0.3, 0.6, 0.9, 1.2, 1.0, 0.5, 1.8, 0.1, 0.0, 0.2, 0.0, 0.0, 0.5, 2.2, 2.2, 2.9, 2.2, 1.5, 2.2, 3.3, 3.1, 2.1, 3.9, 5.9, 5.4, 5.9, 6.4, 6.5, 7.57, 9.81, 5.48, 4.72, 5.27, 2.8, 7.53, 9.66, 6.31, 5.5, 6.8, 8.0, 11.6, 13.97, 10.1, 14.9, 16.9, 11.9, 9.8, 11.07, 6.73, 6.72, 8.06, 4.5, 11.57, 14.32, 7.61, 6.57, 8.19, 4.44, 8.73, 11.56, 6.46, 2.1, 2.58, 0.8, 4.15]"
29,Ha Tinh,2010-10-17,3,3.0,"[1.5, 2.2, 3.3, 3.1, 2.1, 3.9, 5.9, 5.4, 5.9, 6.4, 6.5, 7.57, 9.81, 5.48, 4.72, 5.27, 2.8, 7.53, 9.66, 6.31, 5.5, 6.8, 8.0, 11.6, 13.97, 10.1, 14.9, 16.9, 11.9, 9.8, 11.07, 6.73, 6.72, 8.06, 4.5, 11.57, 14.32, 7.61, 6.57, 8.19, 4.44, 8.73, 11.56, 6.46, 2.1, 2.58, 0.8, 4.15, 5.33, 2.77, 7.23, 8.34, 4.77, 13.28, 17.21, 9.41, 7.27, 9.26, 5.18, 6.03, 7.41, 3.81, 2.0, 2.0, 1.6, 1.0, 0.8, 0.8, 0.5, 0.6, 0.6, 0.6]"
