Year,Disaster Type,Disaster Subtype,Country,Location,Origin,Associated Dis,Dis Mag Value (Km2),River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Geo Locations
2010,Flood,Flash flood,Viet Nam,"Ha Tinh, Quang Binh, Quang Tri, Nghe An, Thua Thien - Hue provinces",Heavy rains associated with Tropical depression 14,,,,2010,10,1,2010,10,6,84,75,679750,,679825,142500,191251,74.50944408,"Ha Tinh, Nghe An, Quang Binh, Quang Tri, Thua Thien - Hue (Adm1)."
2010,Flood,Riverine flood,Viet Nam,"Nghe An, Ha Tinh, Quang Binh provinces",Heavy rains,,,,2010,10,14,2010,10,18,21,,761000,,761000,154000,206685,74.50944408,"Ha Tinh, Nghe An, Quang Binh (Adm1)."
2010,Flood,Riverine flood,Viet Nam,"Ninh Thuan, Khanh Hoa, Phu Yen, Binh Dinh, Quang Ngai, Dak Lak provinces",Heavy rains,,33659,,2010,10,29,2010,11,10,31,8,39000,,39008,107700,144545,74.50944408,"Binh Dinh, Dak Lak, Khanh Hoa, Ninh Thuan, Phu Yen, Quang Ngai (Adm1)."
2010,Flood,Riverine flood,Viet Nam,"Thua Thien-Hue, Quang Ngai, Quang Nam provinces",Heavy rains,,45584,,2010,11,12,2010,11,17,50,,10000,,10000,256000,343581,74.50944408,"Quang Nam, Quang Ngai, Thua Thien - Hue (Adm1)."
2011,Flood,Riverine flood,Viet Nam,Lao Cai province,,,,,2011,9,14,2011,9,14,24,,300000,,300000,44000,57246,76.86159538,Lao Cai (Adm1).
2011,Flood,Riverine flood,Viet Nam,"An Giang, Dong Thap, Long An, Can Tho city, Vinh Long, Hau Giang, Kien Giang provinces",Monsoonla rains exacerbated by 3 tropical storms,,,,2011,9,,2011,12,,85,,600000,,600000,175002,227685,76.86159538,"An Giang, Can Tho city, Dong Thap, Hau Giang, Kien Giang, Long An, Vinh Long (Adm1)."
2011,Flood,Riverine flood,Viet Nam,"Quang Tri, Quang Binh, Thua Thien-Hue, Quang Nam provinces",,,,,2011,10,21,2011,10,21,13,14,461570,,461584,,,76.86159538,"Quang Binh, Quang Nam, Quang Tri, Thua Thien - Hue (Adm1)."
2012,Flood,Riverine flood,Viet Nam,"Ninh Binh, Ha Tinh, Thanh Hoa, Nghe An provinces",Torrential rain,,24179,,2012,9,2,2012,9,11,34,40,,17500,17540,30000,38240,78.45211388,"Ha Tinh, Nghe An, Ninh Binh, Thanh Hoa (Adm1)."
2013,Flood,Riverine flood,Viet Nam,"Lao Cai, Ha Giang, Lai Chau provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,2013,9,,2013,9,,23,,,,,,,79.60130942,"Ha Giang, Lai Chau, Lao Cai (Adm1)."
2013,Flood,Riverine flood,Viet Nam,"Bac Giang, Bac Kan, Bac Ninh, Cao Bang, Da Nang City, Dien Bien, Ha Giang, Ha Nam, Ha Noi City, Ha Tay, Ha Tinh, Hai Duong, Hai Phong City, Hoa Binh, Hung Yen, Lai Chau, Lang Son, Lao Cai, Nam Dinh, Nghe An, Ninh Binh, Phu Tho, Quang Binh, Quang Nam, Quang Ninh, Quang Tri, Son La, Thai Binh, Thai Nguyen, Thanh Hoa, Thua Thien - Hue, Tuyen Quang, Vinh Phuc, Yen Bai provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,2013,9,3,2013,9,4,29,,1000,,1000,,,79.60130942,"Bac Giang, Bac Kan, Bac Ninh, Cao Bang, Da Nang City, Dien Bien, Ha Giang, Ha Nam, Ha Noi City, Ha Tay, Ha Tinh, Hai Duong, Hai Phong City, Hoa Binh, Hung Yen, Lai Chau, Lang Son, Lao Cai, Nam Dinh, Nghe An, Ninh Binh, Phu Tho, Quang Binh, Quang Nam, Quang Ninh, Quang Tri, Son La, Thai Binh, Thai Nguyen, Thanh Hoa, Thua Thien - Hue, Tuyen Quang, Vinh Phuc, Yen Bai (Adm1)."
2013,Flood,Riverine flood,Viet Nam,"Lao Cai, Son La, Quang Ninh, Tuyen Quang provinces",,,,,2013,7,28,2013,7,30,5,,5000,,5000,6500,8166,79.60130942,"Lao Cai, Quang Ninh, Son La, Tuyen Quang (Adm1)."
2013,Flood,Riverine flood,Viet Nam,"An Giang, Ba Ria-Vung Tau, Bac Lieu, Ben Tre, Binh Dinh, Binh Duong, Binh Phuoc, Binh Thuan, Ca Mau, Can Tho City, Da Nang City, Dak Lak, Dak Nong, Dong Nai, Dong Thap, Gia Lai, Ha Tinh, Hau Giang, Ho Chi Minh City, Khanh Hoa, Kien Giang, Kon Tum, Lam Dong, Long An, Ninh Thuan, Phu Yen, Quang Binh, Quang Nam, Quang Ngai, Quang Tri, Soc Trang, Tay Ninh, Thua Thien - Hue, Tien Giang, Tra Vinh, Vinh Long provinces",Mosoonal rain and typhoon Usagi,,,,2013,9,24,2013,9,24,30,,,,,,,79.60130942,"An Giang, Ba Ria-Vung Tau, Bac Lieu, Ben Tre, Binh Dinh, Binh Duong, Binh Phuoc, Binh Thuan, Ca Mau, Can Tho city, Da Nang City, Dak Lak, Dak Nong, Dong Nai, Dong Thap, Gia Lai, Ha Tinh, Hau Giang, Ho Chi Minh City, Khanh Hoa, Kien Giang, Kon Tum, Lam Dong, Long An, Ninh Thuan, Phu Yen, Quang Binh, Quang Nam, Quang Ngai, Quang Tri, Soc Trang, Tay Ninh, Thua Thien - Hue, Tien Giang, Tra Vinh, Vinh Long (Adm1)."
2013,Flood,Riverine flood,Viet Nam,"Dak Lak, Quang Tri, Quang Ngai, Quang Nam, Kon Tum provinces",Tropical Depression 18,,,,2013,9,16,2013,9,18,7,,25000,,25000,,,79.60130942,"Dak Lak, Kon Tum, Quang Nam, Quang Ngai, Quang Tri (Adm1)."
2013,Flood,Riverine flood,Viet Nam,"Quang Ngai, Binh Dinh, Quang Nam, Da Nang City, Phu Yen, Gia Lai, Kon Tum provinces",Tropical depression Podul,,48985,Mekong river,2013,11,14,2013,11,20,47,66,2127865,2070,2130001,72000,90451,79.60130942,"Binh Dinh, Da Nang City, Gia Lai, Kon Tum, Phu Yen, Quang Nam, Quang Ngai (Adm1)."
2015,Flood,Flash flood,Viet Nam,Quang Ninh province,Torrential rain,"Slide (land, mud, snow, rock)",24337,,2015,7,25,2015,8,5,32,,15000,,15000,204000,251887,80.98857899,Quang Ninh (Adm1).
2015,Flood,,Viet Nam,"Minh Tien village (Vi Xuyen district, Ha Giang province), Khanh Hoa, Cao Bang, Lai Chau, Dong Na, Lam Dong, Binh Thuan, An Giang, Dong Thap provinces",Torrential rains,,192887,,2015,9,7,2015,9,11,2,,100,,100,,,80.98857899,"An Giang, Binh Thuan, Cao Bang, Dong Nai, Dong Thap, Khanh Hoa, Lai Chau, Lam Dong (Adm1). Vi Xuyen (Adm2)."
2016,Flood,,Viet Nam,"Thanh Hóa, Lào Cai, Yên Bái, Bac Kan, Dien Bien, Ha Thin, Son La, Thai Nguyen",Torrential rainfall,"Slide (land, mud, snow, rock)",,,2016,8,12,2016,8,14,8,4,410,95,509,,,82.0103309,"Bac Kan, Dien Bien, Ha Tinh, Lao Cai, Son La, Thai Nguyen, Thanh Hoa, Yen Bai (Adm1)."
2016,Flood,Riverine flood,Viet Nam,"Quang Binh (Minh Hoa, Tuyen Hoa), Ha Tinh (Huong Khe), Nghe An, Quang Tri (Vinh Linh, Hai Lang, Trieu Phong), Thua Thien Hue provinces",Monsoonal rains,,63642,,2016,10,9,2016,10,16,35,30,659390,195,659615,104280,127155,82.0103309,"Ha Tinh, Nghe An, Quang Binh, Quang Tri, Thua Thien - Hue (Adm1)."
2016,Flood,,Viet Nam,"Thua Thien - Hue, Quang Nam, Quang Ngai, Binh Dinh provinces",Heavy rains,,44341,,2016,12,12,2016,12,20,27,16,559255,2850,562121,35000,42678,82.0103309,"Binh Dinh, Quang Nam, Quang Ngai, Thua Thien - Hue (Adm1)."
2016,Flood,,Viet Nam,"Ha Tinh (Huong Khe, Huong Son, Vu Quang, Cam Xuyen, Duc Tho), Quang Binh (Bo Trach, Quang Trach (Ba Don), Tuyen Hoan, Le Thuy, Minh Hoa), Quang Tri (Vinh Linh, Hai Lang, Trieu Phong, Cam Lo); Quang Ngai, Gia Lai, Dak Lak, Binh Dinh, Phu Yen, Khanh Hoa, Ninh Thuan",,,,,2016,10,30,2016,11,5,21,,205205,1135,206340,22000,26826,82.0103309,"Bo Trach, Cam Lo, Cam Xuyen, Duc Tho, Hai Lang, Huong Khe, Huong Son, Le Thuy, Minh Hoa, Quang Trach, Trieu Phong, Tuyen Hoa, Vinh Linh, Vu Quang (Adm2)."
2017,Flood,Flash flood,Viet Nam,"Yen Bai (Mu Cang Chai district), Son La (Muong La), Bac Kan, Lai Chau (Nam-Ho Dien Bien district), Dien Bien",,"Slide (land, mud, snow, rock)",,Da river,2017,8,3,2017,8,3,39,21,3000,1140,4161,88000,105066,83.75725455,"Bac Kan, Dien Bien, Lai Chau, Son La, Yen Bai (Adm1)."
2017,Flood,,Viet Nam,"Ha Giang, Lao Cai, Dien Bien, Yen Bai (Mu Cang Chai district), Tuyen Quang, Thai Nguyen, Lai Chau, Bac Kan, Cao Bang (Hoa An district), Binh Thuan, An Giang, Cà Mau (Nam Can, Ngoc Hien and Dam Doi districts) Provinces",,"Slide (land, mud, snow, rock)",,,2017,6,27,2017,7,5,1,4,4100,,4104,355,424,83.75725455,"An Giang, Bac Kan, Binh Thuan, Ca Mau, Cao Bang, Dien Bien, Ha Giang, Lai Chau, Lao Cai, Thai Nguyen, Tuyen Quang, Yen Bai (Adm1)."
2017,Flood,,Viet Nam,"Thai Nguyen, Ha Giang, Dien Bien, Hoa Binh, Cao Bang",Heavy rainfall,"Slide (land, mud, snow, rock)",,,2017,7,7,2017,7,10,14,,400,,400,1300,1552,83.75725455,"Cao Bang, Dien Bien, Ha Giang, Hoa Binh, Thai Nguyen (Adm1)."
2017,Flood,,Viet Nam,"Thanh Hoa, Nghe An, Ha Tinh, Hoa Binh, Yen Bai (V?n Tr?n, Tr?m T?u districts, Ngh?a L? Town), Son La, Quang Tri, Ha Noi (Nam Hai, Chong My), Phu Tho, Ha Nam",Tropical Depression 23W,"Slide (land, mud, snow, rock)",,"Mã, La, Ngàn Sâu, and Ngàn Ph? Rivers",2017,10,8,2017,10,16,75,38,40000,,40038,88000,105066,83.75725455,"Ha Nam, Ha Noi City, Ha Tinh, Hoa Binh, Nghe An, Phu Tho, Quang Tri, Son La, Thanh Hoa, Yen Bai (Adm1)."
2017,Flood,,Viet Nam,"Quang Tri, Thua Thien-Hue, Da Nang, Quang Nam, Quang Ngai, Binh Dinh",Tropical depression,,27646,Cu De River,2017,11,19,2017,11,24,8,,41500,,41500,,,83.75725455,"Binh Dinh, Da Nang City, Quang Nam, Quang Ngai, Quang Tri, Thua Thien - Hue (Adm1)."
2018,Flood,Flash flood,Viet Nam,Lai Chau,,"Slide (land, mud, snow, rock)",,,2018,6,23,2018,6,27,33,18,16710,,16728,23000,26806,85.80302606,Lai Chau (Adm1).
2018,Flood,,Viet Nam,Northern provinces,Heavy rains,"Slide (land, mud, snow, rock)",,,2018,8,29,2018,9,5,20,,6000,,6000,,,85.80302606,
2018,Flood,Flash flood,Viet Nam,"Thanh Hoa, Binh Dinh, Nghe An, Quang Tri, Quang Ngai, Quang Nam, Da Nang",Heavy rains,,,,2018,12,8,2018,12,10,14,,105000,,105000,25000,29137,85.80302606,"Binh Dinh, Da Nang City, Nghe An, Quang Nam, Quang Ngai, Quang Tri, Thanh Hoa (Adm1)."
2019,Flood,,Viet Nam,"Ha Giang, Bac Kan, Cao Bang and Yen Bai Provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,2019,5,27,2019,5,30,3,,,265,265,,,87.35800677,"Bac Kan, Cao Bang, Ha Giang, Yen Bai (Adm1)."
2019,Flood,Flash flood,Viet Nam,"Qu?ng Ninh, L?ng S?n, Thanh Hóa",Tropical Cyclone Wipha,"Slide (land, mud, snow, rock)",,,2019,8,5,2019,8,5,27,,,500,500,45000,51512,87.35800677,"Lang Son, Quang Ninh, Thanh Hoa (Adm1)."
2019,Flood,,Viet Nam,"Nghe An, Bình Dinh, Hà Tinh Provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,2019,10,15,2019,10,22,3,5,26250,,26255,,,87.35800677,"Binh Dinh, Ha Tinh, Nghe An (Adm1)."
2019,Flood,,Viet Nam,"Kien Giang, Lam Dong, Dak Lak, Dac Nong, Gia Lai, Kon Tum, Dong Nai, Binh Thuan, Binh Phuoc",Torrential rains,,,,2019,8,8,2019,8,10,12,5,61535,,61540,,,87.35800677,"Binh Phuoc, Binh Thuan, Dak Lak, Dak Nong, Dong Nai, Gia Lai, Kien Giang, Kon Tum, Lam Dong (Adm1)."
2019,Flood,,Viet Nam,"Quang Binh, Ha Tinh and Lao Cai provinces.",Tropical Storm PODUL and Tropical Depression KAJIKI's,,,,2019,9,11,2019,9,11,10,,36450,,36450,,,87.35800677,"Ha Tinh, Lao Cai, Quang Binh (Adm1)."
2020,Flood,Flash flood,Viet Nam,"Ha Giang, Bac Giang provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,2020,7,18,2020,7,21,5,1,2620,,2621,22000,24877,88.43564081,"Bac Giang, Ha Giang (Adm1)."
2021,Flood,,Viet Nam,Northern and central regions,"Heavy rains, tropical cyclone DIANMU","Slide (land, mud, snow, rock)",,,2021,9,23,2021,9,27,3,3,13600,,13603,,,92.59019293,
2021,Flood,,Viet Nam,"Quang Nam, Quang Ngai, Binh Dinh, Dak Lak, Kon Tum, Phu Yen Provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,2021,11,27,2021,11,30,18,,300000,,300000,,,92.59019293,"Binh Dinh, Dak Lak, Kon Tum, Phu Yen, Quang Nam, Quang Ngai (Adm1)."
2021,Flood,Flash flood,Viet Nam,"Minh Luong Commune, Viet Tien (Van Ban District, Lao Cai province); Bac Quang (Ha Giang province); Tan Dong (Yen Bai Province), Ha Giang Province",Heay rains,,,,2021,4,16,2021,4,19,3,,180,,180,,,92.59019293,"Ha Giang (Adm1). Tran Yen, Van Ban (Adm2)."
2022,Flood,,Viet Nam,"Tuyen Quang,Bac Kan and Cao Bang provinces",,"Slide (land, mud, snow, rock)",,,2022,3,22,2022,3,23,,1,225,,226,,,100,"Bac Kan, Cao Bang, Tuyen Quang (Adm1)."
2022,Flood,,Viet Nam,"Tuyen Quang, Hoa Binh, Dien Bien, Cao Bang, Vinh Phuc, Ha Giang, Yen Bai, Lao Cai, Thai Nguyen, Phu Tho, and Hanoi",Heavy rains,"Slide (land, mud, snow, rock)",,,2022,5,21,2022,5,30,13,4,2550,,2554,,,100,"Cao Bang, Dien Bien, Ha Giang, Hoa Binh, Phu Tho, Phu Yen, Thai Nguyen, Tuyen Quang, Vinh Phuc, Yen Bai (Adm1)."
2022,Flood,,Viet Nam,"Nghia Hanh and Duc Pho Districts (Quang Ngai province); Quang Nam,Thua Thien Hue",Heavy rains,"Slide (land, mud, snow, rock)",,,2022,10,10,2022,10,11,2,,10000,,10000,,,100,"Quang Nam, Thua Thien - Hue (Adm1). Duc Pho, Nghia Hanh (Adm2)."
2022,Flood,,Viet Nam,"Quang Nam, Quang Tri, Phu Yen, Phu Loc district (Thua Thien Hue) provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,2022,12,1,2022,12,4,5,,10495,,10495,1500,1500,100,"Phu Yen, Quang Nam, Quang Tri (Adm1). Phu Loc (Adm2)."
2022,Flood,,Viet Nam,Dak Lak,"Heavy rains, Tropical Depression Mulan",,,,2022,8,14,2022,8,16,10,,,,,,,100,Dak Lak (Adm1).
